Year,Indonesia,Malaysia,Singapore,Thailand,Vietnam,United States,East Asia & Pacific,World,Indonesia %,Cambodia %,Myanmar %,Thailand %,Vietnam %,Malatsia %,Singapore %,World %,Indonesia GDP PPP,Malaysia GDP PPP,Singapore GDP PPP,Thailand GDP PPP,Vietnam GDP PPP
1967,5667756645,3188945512,1238043904,5638461442,,8.617E+11,2.72054E+11,2.27094E+12,1.380402806,,-5.925258883,8.615982333,,3.857146492,12.50872238,4.534689914,,,,,
1968,7076465295,3330393310,1425715406,6081009428,,9.425E+11,2.99758E+11,2.45143E+12,10.91517857,,12.05934018,8.122270256,,7.977994642,13.52722279,6.36070725,,,,,
1969,8337423313,3664575983,1659904613,6695336567,,1.0199E+12,3.45294E+11,2.70463E+12,6.822298249,,3.291741121,6.550659886,,4.888533653,13.83333659,6.149871578,,,,,
1970,9150684932,3864170913,1920586698,7086538438,,1.0733E+12,4.0733E+11,2.96086E+12,7.554634514,,4.979330597,11.40794907,,5.98653863,13.942261,3.608941663,,,,,
1971,9333536360,4244340334,2263785444,7375000024,,1.16485E+12,4.52784E+11,3.27329E+12,7.023997197,,4.129962445,4.89537376,,10.03466058,12.41375506,4.342934004,,,,,
1972,10997590361,5043268549,2721440981,8177884553,,1.27911E+12,5.62058E+11,3.77753E+12,7.037643208,,2.435841373,4.278508039,,9.388444991,13.31555072,5.725310663,,,,,
1973,16273253012,7662996767,3696213333,10838587358,,1.42538E+12,7.4087E+11,4.60909E+12,8.103975535,,-0.968124718,10.23643301,,11.70108161,10.60261926,6.50466971,,,,,
1974,25802409639,9496074114,5221534956,13703000530,,1.54524E+12,8.52973E+11,5.31586E+12,7.634672906,,5.342375689,4.466253386,,8.318661972,6.117604351,1.993343842,,,,,
1975,30463855422,9298800799,5633673930,14882747955,,1.6849E+12,9.33921E+11,5.92022E+12,4.977300867,,4.152709189,4.970405228,,0.801068091,3.981687992,0.601383346,,,,,
1976,37269156627,11050125905,6327077974,16985211146,,1.87341E+12,1.02675E+12,6.43808E+12,6.886564974,,6.080396229,9.326811082,,11.56348978,7.437176853,5.271019548,,,,,
1977,45808915663,13139397879,6618585074,19779315170,,2.08183E+12,1.22397E+12,7.27744E+12,8.761325601,,5.952286611,9.843463235,,7.75305838,6.85269968,3.934247244,,,,,
1978,51455719100,16358376511,7517176355,24006570178,,2.3516E+12,1.5449E+12,8.5845E+12,6.767069858,,6.517817023,10.29574653,,6.653892216,7.777287657,3.892944051,,,,,
1979,51400186379,21213672089,9296921724,27371699083,,2.62733E+12,1.6776E+12,9.97114E+12,7.324309486,,5.201277481,5.371766513,,9.349099931,9.554173336,4.124999669,,,,,
1980,72482337370,24488033442,11896256783,32353440727,,2.85731E+12,1.81298E+12,1.12276E+13,9.880077522,,7.938538081,5.173541006,,7.441826784,10.11321778,1.902793838,,,,,
1981,85518233451,25004557094,14175228844,34846107862,,3.20704E+12,1.99863E+12,1.16238E+13,7.927156824,,6.355754592,5.906867763,,6.942104199,10.81613733,1.92165364,,,,,
1982,90158449307,26804401816,16084252378,36589797857,,3.34379E+12,1.95854E+12,1.15145E+13,2.24644534,,5.603876426,5.352348751,,5.943152455,7.102114839,0.432213867,,,,,
1983,81052283405,30346788438,17784112150,40042826244,,3.63404E+12,2.08475E+12,1.1747E+13,4.192967368,,4.39109268,5.584202469,,6.252230815,8.554599663,2.413093926,,,,,
1984,84853699994,33943505718,19749361098,41797592963,,4.03761E+12,2.23338E+12,1.21799E+13,6.975527809,,4.932728026,5.752430251,,7.76179012,8.792386562,4.501895382,,,,,
1985,85289491750,31200161095,19156532746,38900692712,14094687821,4.33898E+12,2.35713E+12,1.27933E+13,2.462143564,,2.851000239,4.647240357,3.805855668,-1.025250251,-0.62285124,3.710738643,,,,,
