Country,Continent ,Avg_score,GDP,GDP_PPP
Albania,America,419.7,15147020535,13833.9816
Argentina,America,395,5.20E+11,23282.63704
Australia,Oceania,499,1.43E+12,51036.40589
Austria,Europe,491,4.56E+11,56871.2114
Azerbaijan,Asia,402.3,47112941176,14544.95336
Belarus,Europe,472.3,60031262269,19330.86888
Belgium,Europe,500,5.43E+11,52249.57346
Bosnia and Herzegovina,Europe,402.3,20183498491,14932.37321
Brazil,America,400.3,1.89E+12,14940.67261
Brunei,Asia,423,13567351175,61813.89516
Bulgaria,Europe,426.7,66200847918,22601.40349
Canada,America,516.7,1.72E+12,50077.79624
Chile,America,437.7,2.98E+11,24765.23459
Colombia,America,405.3,3.34E+11,14965.89536
Costa Rica,America,414.7,60553901420,19873.13955
Croatia,Europe,471.7,60991399904,28038.68541
Cyprus,Europe,438,24961995749,39737.32519
Czechia,Europe,495.3,2.45E+11,40389.35761
Denmark,Europe,501,3.56E+11,57218.40645
Dominican Republic,America,334.3,85555378043,11805.55362
Estonia,Europe,525.3,30747159198,36358.02776
Finland,Europe,516.3,2.76E+11,49373.18396
France,Europe,493.7,2.79E+12,46605.18634
Georgia,Europe,387,17599700091,14593.50487
Germany,Europe,500.3,3.95E+12,54456.92926
Greece,Europe,453.3,2.18E+11,30354.349
"Hong Kong, China",Asia,530.7,3.62E+11,62513.0323
Hungary,Europe,479.3,1.58E+11,31578.7598
Iceland,Europe,481.3,25737594325,57742.15028
Indonesia,Asia,382,1.04E+12,11639.86506
Ireland,Europe,504.7,3.83E+11,84459.65164
Israel,Asia,465,3.71E+11,40261.33803
Italy,Europe,477,2.09E+12,42816.20297
Japan,Asia,520,4.95E+12,41335.52322
Jordan,Asia,416,42231295775,10086.44954
Kazakhstan,Asia,402.3,1.79E+11,26147.04607
Kosovo,Europe,361.3,7942961738,11152.38103
Latvia,Europe,487.3,34313873285,30644.60829
Lebanon,Asia,376.7,54961275742,15980.40757
Lithuania,Europe,479.7,53455170034,35831.86282
Luxembourg,Europe,476.7,70919958016,116786.48
Macao,Asia,542.3,55084050790,135020.7802
Malaysia,Asia,431,3.59E+11,28186.70494
Malta,Asia,459,3.59E+11,43555.20509
Mexico,America,416,1.22E+12,20396.47771
Moldova,Europe,424.3,11457410264,12665.00369
Montenegro,Asia,422,5506766651,21236.47102
Morocco,Asia,368,1.18E+11,7613.142868
Netherlands,Europe,502.3,9.14E+11,57565.19756
New Zealand,Oceania,502.7,2.08E+11,42810.83751
North Macedonia,America,400,12628854801,16517.49901
Norway,Europe,496.7,4.34E+11,67640.18138
Panama,America,365,65128200000,31781.84429
Peru,America,401.7,2.22E+11,13084.00103
Philippines,Asia,350,3.47E+11,8717.047981
Poland,Europe,513,5.87E+11,31834.4091
Portugal,Europe,492,2.41E+11,34340.71335
Qatar,Asia,413.3,1.91E+11,96732.66319
Romania,Europe,428,2.42E+11,29213.84146
Russia,Europe,481.7,1.67E+12,28763.51663
Saudi Arabia,Asia,386,7.87E+11,48719.86405
Serbia,Asia,442.3,50597289147,17563.16537
Singapore,Asia,556.3,3.73E+11,100051.4344
Slovakia,Europe,469.3,1.06E+11,32574.82314
Slovenia,Europe,503.7,54034358544,38749.25198
South Korea,Asia,519.7,1.72E+12,42136.08039
Sweden,Europe,502.3,5.55E+11,53746.79917
Switzerland,Europe,498,7.05E+11,69357.48606
Thailand,Asia,412.7,5.07E+11,18513.29357
Turkey,Europe,462.7,7.71E+11,28139.14376
Ukraine,Europe,462.7,1.31E+11,12629.14166
United Kingdom,Europe,503.7,2.86E+12,46956.07776
Uruguay,America,423.7,59596885023,22100.31064
Vietnam,Asia,514.7,2.45E+11,7765.400252
United States,America,495,,62840.02024
China,Asia,578.7,,15602.94147
